,Odi-Dub,minutes
1,2020-07-27 08:30:00,510
2,2020-07-27 09:25:00,565
3,2020-07-27 10:10:00,610
4,2020-07-27 10:50:00,650
5,2020-07-27 12:10:00,730
6,2020-07-27 16:40:00,1000
7,2020-07-27 17:40:00,1060
8,2020-07-27 18:50:00,1130
9,2020-07-27 19:30:00,1170
10,2020-07-27 20:30:00,1230
11,2020-07-27 21:21:00,1281
